n	real_n	max_n	Time (s)	m	r
93.0	93.0	120.0	0.06711149215698242	10.0	6.0
94.0	94.0	120.0	0.06894588470458984	10.0	6.0
96.0	96.0	120.0	0.06865358352661133	10.0	6.0
97.0	97.0	120.0	0.0691533088684082	10.0	6.0
98.0	98.0	120.0	0.07221746444702148	10.0	6.0
99.0	99.0	120.0	0.0739126205444336	10.0	6.0
100.0	100.0	120.0	0.07768678665161133	10.0	6.0
102.0	102.0	120.0	0.08117151260375977	10.0	6.0
103.0	103.0	120.0	0.0832052230834961	10.0	6.0
104.0	104.0	120.0	0.07999968528747559	10.0	6.0
105.0	105.0	120.0	0.08191919326782227	10.0	6.0
106.0	106.0	120.0	0.08326864242553711	10.0	6.0
108.0	108.0	120.0	0.08525776863098145	10.0	6.0
109.0	109.0	120.0	0.08689713478088379	10.0	6.0
110.0	110.0	120.0	0.09476232528686523	10.0	6.0
111.0	111.0	120.0	0.09492635726928711	10.0	6.0
112.0	112.0	120.0	0.3074350357055664	10.0	6.0
114.0	114.0	120.0	0.10228228569030762	10.0	6.0
115.0	115.0	120.0	8.22753643989563	10.0	6.0
116.0	116.0	120.0	0.10885405540466309	10.0	6.0
117.0	117.0	120.0	0.10369420051574707	10.0	6.0
118.0	118.0	120.0	18.00148582458496	10.0	6.0
27.0	27.0	45.0	0.009716033935546875	10.0	7.0
27.0	27.0	45.0	0.009824991226196289	10.0	7.0
27.0	27.0	45.0	0.009291887283325195	10.0	7.0
28.0	28.0	45.0	0.009639739990234375	10.0	7.0
28.0	28.0	45.0	0.00981450080871582	10.0	7.0
29.0	29.0	45.0	0.010326385498046875	10.0	7.0
29.0	29.0	45.0	0.010367631912231445	10.0	7.0
30.0	30.0	45.0	0.010806560516357422	10.0	7.0
30.0	30.0	45.0	0.010931015014648438	10.0	7.0
31.0	31.0	45.0	0.011084794998168945	10.0	7.0
31.0	31.0	45.0	0.01119852066040039	10.0	7.0
31.0	31.0	45.0	0.011186838150024414	10.0	7.0
32.0	32.0	45.0	0.011558294296264648	10.0	7.0
32.0	32.0	45.0	0.011486053466796875	10.0	7.0
33.0	33.0	45.0	0.01215052604675293	10.0	7.0
33.0	33.0	45.0	0.01191568374633789	10.0	7.0
34.0	34.0	45.0	0.012566328048706055	10.0	7.0
34.0	34.0	45.0	0.012548685073852539	10.0	7.0
35.0	35.0	45.0	0.01365041732788086	10.0	7.0
35.0	35.0	45.0	0.013428211212158203	10.0	7.0
36.0	36.0	45.0	0.013994693756103516	10.0	7.0
36.0	36.0	45.0	0.014300823211669922	10.0	7.0
36.0	36.0	45.0	0.014410734176635742	10.0	7.0
37.0	37.0	45.0	0.014916658401489258	10.0	7.0
37.0	37.0	45.0	0.015015125274658203	10.0	7.0
38.0	38.0	45.0	0.015186309814453125	10.0	7.0
38.0	38.0	45.0	0.01532602310180664	10.0	7.0
39.0	39.0	45.0	0.01579880714416504	10.0	7.0
39.0	39.0	45.0	0.016138315200805664	10.0	7.0
40.0	40.0	45.0	0.016898632049560547	10.0	7.0
40.0	40.0	45.0	0.017555713653564453	10.0	7.0
40.0	40.0	45.0	0.01713705062866211	10.0	7.0
41.0	41.0	45.0	0.018476247787475586	10.0	7.0
41.0	41.0	45.0	0.020186901092529297	10.0	7.0
42.0	42.0	45.0	0.021320343017578125	10.0	7.0
42.0	42.0	45.0	0.0319523811340332	10.0	7.0
43.0	43.0	45.0	0.02053093910217285	10.0	7.0
43.0	43.0	45.0	0.018369674682617188	10.0	7.0
44.0	44.0	45.0	0.036971092224121094	10.0	7.0
44.0	44.0	45.0	0.02117753028869629	10.0	7.0
6.0	6.0	10.0	0.0015044212341308594	10.0	8.0
6.0	6.0	10.0	0.0013616085052490234	10.0	8.0
6.0	6.0	10.0	0.0013561248779296875	10.0	8.0
6.0	6.0	10.0	0.0013489723205566406	10.0	8.0
6.0	6.0	10.0	0.0013575553894042969	10.0	8.0
6.0	6.0	10.0	0.0013175010681152344	10.0	8.0
6.0	6.0	10.0	0.0012867450714111328	10.0	8.0
6.0	6.0	10.0	0.0013349056243896484	10.0	8.0
6.0	6.0	10.0	0.0013391971588134766	10.0	8.0
6.0	6.0	10.0	0.0012793540954589844	10.0	8.0
7.0	7.0	10.0	0.0015339851379394531	10.0	8.0
7.0	7.0	10.0	0.0016264915466308594	10.0	8.0
7.0	7.0	10.0	0.0015456676483154297	10.0	8.0
7.0	7.0	10.0	0.0015404224395751953	10.0	8.0
7.0	7.0	10.0	0.0015468597412109375	10.0	8.0
7.0	7.0	10.0	0.0015339851379394531	10.0	8.0
7.0	7.0	10.0	0.0015323162078857422	10.0	8.0
7.0	7.0	10.0	0.0015306472778320312	10.0	8.0
7.0	7.0	10.0	0.0015368461608886719	10.0	8.0
7.0	7.0	10.0	0.0015342235565185547	10.0	8.0
8.0	8.0	10.0	0.001802206039428711	10.0	8.0
8.0	8.0	10.0	0.0017998218536376953	10.0	8.0
8.0	8.0	10.0	0.0017991065979003906	10.0	8.0
8.0	8.0	10.0	0.0017974376678466797	10.0	8.0
8.0	8.0	10.0	0.0017948150634765625	10.0	8.0
8.0	8.0	10.0	0.001800537109375	10.0	8.0
8.0	8.0	10.0	0.0017955303192138672	10.0	8.0
8.0	8.0	10.0	0.001794576644897461	10.0	8.0
8.0	8.0	10.0	0.0017886161804199219	10.0	8.0
8.0	8.0	10.0	0.0018033981323242188	10.0	8.0
9.0	9.0	10.0	0.0020728111267089844	10.0	8.0
9.0	9.0	10.0	0.0020799636840820312	10.0	8.0
9.0	9.0	10.0	0.0020754337310791016	10.0	8.0
9.0	9.0	10.0	0.0020711421966552734	10.0	8.0
9.0	9.0	10.0	0.002095937728881836	10.0	8.0
9.0	9.0	10.0	0.0020706653594970703	10.0	8.0
9.0	9.0	10.0	0.002069234848022461	10.0	8.0
9.0	9.0	10.0	0.0020809173583984375	10.0	8.0
9.0	9.0	10.0	0.0020771026611328125	10.0	8.0
9.0	9.0	10.0	0.0020737648010253906	10.0	8.0
33.0	33.0	55.0	0.4880218505859375	11.0	2.0
33.0	33.0	55.0	1.680494785308838	11.0	2.0
34.0	34.0	55.0	1.9928216934204102	11.0	2.0
34.0	34.0	55.0	0.46668386459350586	11.0	2.0
35.0	0.0	55.0	3.2941505908966064	11.0	2.0
35.0	35.0	55.0	2.5055103302001953	11.0	2.0
36.0	0.0	55.0	3.0492055416107178	11.0	2.0
36.0	36.0	55.0	3.299222707748413	11.0	2.0
37.0	0.0	55.0	2.4164860248565674	11.0	2.0
37.0	0.0	55.0	2.995347023010254	11.0	2.0
38.0	0.0	55.0	2.8524363040924072	11.0	2.0
39.0	0.0	55.0	2.6470513343811035	11.0	2.0
39.0	0.0	55.0	1.5213990211486816	11.0	2.0
40.0	0.0	55.0	3.630061149597168	11.0	2.0
40.0	0.0	55.0	2.8153388500213623	11.0	2.0
41.0	0.0	55.0	0.9858498573303223	11.0	2.0
41.0	0.0	55.0	0.5896494388580322	11.0	2.0
42.0	0.0	55.0	1.3513975143432617	11.0	2.0
42.0	0.0	55.0	1.3428845405578613	11.0	2.0
43.0	0.0	55.0	0.20148563385009766	11.0	2.0
44.0	0.0	55.0	1.6297202110290527	11.0	2.0
44.0	0.0	55.0	1.0651025772094727	11.0	2.0
45.0	0.0	55.0	0.11594152450561523	11.0	2.0
45.0	0.0	55.0	0.2028059959411621	11.0	2.0
46.0	0.0	55.0	0.037769317626953125	11.0	2.0
46.0	0.0	55.0	0.024486064910888672	11.0	2.0
47.0	0.0	55.0	0.01918792724609375	11.0	2.0
47.0	0.0	55.0	0.019211530685424805	11.0	2.0
48.0	0.0	55.0	0.009043693542480469	11.0	2.0
48.0	0.0	55.0	0.0060672760009765625	11.0	2.0
49.0	0.0	55.0	0.0031287670135498047	11.0	2.0
50.0	0.0	55.0	0.003605365753173828	11.0	2.0
50.0	0.0	55.0	0.003602266311645508	11.0	2.0
51.0	0.0	55.0	0.003618001937866211	11.0	2.0
51.0	0.0	55.0	0.0036172866821289062	11.0	2.0
52.0	0.0	55.0	0.003604412078857422	11.0	2.0
52.0	0.0	55.0	0.0036368370056152344	11.0	2.0
53.0	0.0	55.0	0.0036258697509765625	11.0	2.0
53.0	0.0	55.0	0.0036077499389648438	11.0	2.0
54.0	0.0	55.0	0.003614187240600586	11.0	2.0
99.0	99.0	165.0	0.04154491424560547	11.0	3.0
100.0	100.0	165.0	0.041272640228271484	11.0	3.0
102.0	102.0	165.0	0.05652308464050293	11.0	3.0
103.0	103.0	165.0	0.06468462944030762	11.0	3.0
105.0	105.0	165.0	0.05251145362854004	11.0	3.0
107.0	107.0	165.0	0.06199812889099121	11.0	3.0
108.0	108.0	165.0	0.09883356094360352	11.0	3.0
110.0	110.0	165.0	0.048558712005615234	11.0	3.0
112.0	112.0	165.0	0.16285085678100586	11.0	3.0
113.0	113.0	165.0	0.05928945541381836	11.0	3.0
115.0	115.0	165.0	0.10221481323242188	11.0	3.0
117.0	117.0	165.0	0.08954739570617676	11.0	3.0
118.0	118.0	165.0	0.11693763732910156	11.0	3.0
120.0	120.0	165.0	0.12227344512939453	11.0	3.0
122.0	122.0	165.0	0.06064248085021973	11.0	3.0
123.0	123.0	165.0	0.11182069778442383	11.0	3.0
125.0	125.0	165.0	0.061556339263916016	11.0	3.0
127.0	127.0	165.0	0.18874645233154297	11.0	3.0
128.0	128.0	165.0	0.13773107528686523	11.0	3.0
130.0	130.0	165.0	0.35944080352783203	11.0	3.0
132.0	132.0	165.0	0.29318714141845703	11.0	3.0
133.0	133.0	165.0	1.0974974632263184	11.0	3.0
135.0	135.0	165.0	0.6476600170135498	11.0	3.0
136.0	136.0	165.0	0.9799067974090576	11.0	3.0
138.0	138.0	165.0	2.8268535137176514	11.0	3.0
140.0	140.0	165.0	2.7071332931518555	11.0	3.0
141.0	0.0	165.0	3.2608911991119385	11.0	3.0
143.0	0.0	165.0	3.5274510383605957	11.0	3.0
145.0	0.0	165.0	2.9790310859680176	11.0	3.0
146.0	0.0	165.0	2.2218382358551025	11.0	3.0
148.0	0.0	165.0	2.757575273513794	11.0	3.0
150.0	0.0	165.0	1.0410325527191162	11.0	3.0
151.0	0.0	165.0	1.6170368194580078	11.0	3.0
153.0	0.0	165.0	0.7379896640777588	11.0	3.0
155.0	0.0	165.0	1.09122896194458	11.0	3.0
156.0	0.0	165.0	0.4282701015472412	11.0	3.0
158.0	0.0	165.0	0.386488676071167	11.0	3.0
160.0	0.0	165.0	0.10920333862304688	11.0	3.0
161.0	0.0	165.0	0.11876225471496582	11.0	3.0
163.0	0.0	165.0	0.09577679634094238	11.0	3.0
198.0	198.0	330.0	0.11766719818115234	11.0	4.0
201.0	201.0	330.0	0.12178206443786621	11.0	4.0
204.0	204.0	330.0	0.12307429313659668	11.0	4.0
207.0	207.0	330.0	0.11790919303894043	11.0	4.0
211.0	211.0	330.0	0.12248086929321289	11.0	4.0
214.0	214.0	330.0	0.12287473678588867	11.0	4.0
217.0	217.0	330.0	0.12676739692687988	11.0	4.0
221.0	221.0	330.0	0.13367152214050293	11.0	4.0
224.0	224.0	330.0	0.174407958984375	11.0	4.0
227.0	227.0	330.0	0.14362883567810059	11.0	4.0
231.0	231.0	330.0	0.15993785858154297	11.0	4.0
234.0	234.0	330.0	0.1522660255432129	11.0	4.0
237.0	237.0	330.0	0.6139001846313477	11.0	4.0
240.0	240.0	330.0	0.20475506782531738	11.0	4.0
244.0	244.0	330.0	0.22322821617126465	11.0	4.0
247.0	247.0	330.0	0.25499629974365234	11.0	4.0
250.0	250.0	330.0	0.38341236114501953	11.0	4.0
254.0	254.0	330.0	0.8585295677185059	11.0	4.0
257.0	257.0	330.0	0.9455609321594238	11.0	4.0
260.0	260.0	330.0	0.48856425285339355	11.0	4.0
264.0	264.0	330.0	0.5008285045623779	11.0	4.0
267.0	267.0	330.0	17.296550035476685	11.0	4.0
270.0	0.0	330.0	1.0241549015045166	11.0	4.0
273.0	0.0	330.0	0.7586789131164551	11.0	4.0
277.0	277.0	330.0	7.068130970001221	11.0	4.0
280.0	0.0	330.0	0.6576879024505615	11.0	4.0
283.0	0.0	330.0	3.0495080947875977	11.0	4.0
287.0	0.0	330.0	8.584970235824585	11.0	4.0
290.0	0.0	330.0	1.5195934772491455	11.0	4.0
293.0	0.0	330.0	1.1469757556915283	11.0	4.0
297.0	0.0	330.0	3.8823888301849365	11.0	4.0
300.0	0.0	330.0	11.661397457122803	11.0	4.0
303.0	0.0	330.0	4.303157091140747	11.0	4.0
306.0	0.0	330.0	1.8267149925231934	11.0	4.0
310.0	0.0	330.0	12.275135278701782	11.0	4.0
313.0	0.0	330.0	10.669418811798096	11.0	4.0
316.0	0.0	330.0	55.010717153549194	11.0	4.0
320.0	0.0	330.0	400.0003831386566	11.0	4.0
323.0	0.0	330.0	28.23424506187439	11.0	4.0
326.0	0.0	330.0	400.00026178359985	11.0	4.0
277.0	277.0	462.0	0.28508782386779785	11.0	5.0
281.0	281.0	462.0	0.2931201457977295	11.0	5.0
286.0	286.0	462.0	0.30807971954345703	11.0	5.0
291.0	291.0	462.0	0.315915584564209	11.0	5.0
295.0	295.0	462.0	0.32979750633239746	11.0	5.0
300.0	300.0	462.0	0.3426046371459961	11.0	5.0
304.0	304.0	462.0	0.34928297996520996	11.0	5.0
309.0	309.0	462.0	0.34524083137512207	11.0	5.0
314.0	314.0	462.0	0.3665175437927246	11.0	5.0
318.0	318.0	462.0	0.38080453872680664	11.0	5.0
323.0	323.0	462.0	0.39183664321899414	11.0	5.0
328.0	328.0	462.0	0.3985321521759033	11.0	5.0
332.0	332.0	462.0	0.6961648464202881	11.0	5.0
337.0	337.0	462.0	0.4160916805267334	11.0	5.0
341.0	341.0	462.0	0.41941094398498535	11.0	5.0
346.0	346.0	462.0	0.45203375816345215	11.0	5.0
351.0	351.0	462.0	0.45812058448791504	11.0	5.0
355.0	355.0	462.0	0.4908130168914795	11.0	5.0
360.0	0.0	462.0	400.0002934932709	11.0	5.0
364.0	0.0	462.0	400.0004620552063	11.0	5.0
369.0	0.0	462.0	400.00027561187744	11.0	5.0
374.0	0.0	462.0	400.00028920173645	11.0	5.0
378.0	0.0	462.0	400.00029706954956	11.0	5.0
383.0	0.0	462.0	400.0002660751343	11.0	5.0
388.0	0.0	462.0	0.40415239334106445	11.0	5.0
392.0	0.0	462.0	12.019665002822876	11.0	5.0
397.0	0.0	462.0	4.298541784286499	11.0	5.0
401.0	0.0	462.0	0.5978217124938965	11.0	5.0
406.0	0.0	462.0	227.40682911872864	11.0	5.0
411.0	0.0	462.0	0.4028332233428955	11.0	5.0
415.0	0.0	462.0	0.27124905586242676	11.0	5.0
420.0	0.0	462.0	7.074431419372559	11.0	5.0
425.0	0.0	462.0	1.467463731765747	11.0	5.0
429.0	0.0	462.0	400.0002076625824	11.0	5.0
434.0	0.0	462.0	400.00033712387085	11.0	5.0
438.0	0.0	462.0	400.0003459453583	11.0	5.0
443.0	0.0	462.0	400.0003433227539	11.0	5.0
448.0	0.0	462.0	400.0006742477417	11.0	5.0
452.0	0.0	462.0	400.0003230571747	11.0	5.0
457.0	0.0	462.0	400.0003502368927	11.0	5.0
198.0	198.0	330.0	0.32174015045166016	11.0	6.0
201.0	201.0	330.0	0.32906198501586914	11.0	6.0
204.0	204.0	330.0	0.32216930389404297	11.0	6.0
207.0	207.0	330.0	0.3347439765930176	11.0	6.0
211.0	211.0	330.0	0.3562643527984619	11.0	6.0
214.0	214.0	330.0	0.35653042793273926	11.0	6.0
217.0	217.0	330.0	0.3715689182281494	11.0	6.0
221.0	221.0	330.0	0.37839818000793457	11.0	6.0
