n	real_n	max_n	Time (s)	m	r
7.0	7.0	10.0	0.0024759769439697266	10.0	8.0
7.0	7.0	10.0	0.002490520477294922	10.0	8.0
8.0	8.0	10.0	0.0029070377349853516	10.0	8.0
8.0	8.0	10.0	0.0029087066650390625	10.0	8.0
8.0	8.0	10.0	0.0029175281524658203	10.0	8.0
8.0	8.0	10.0	0.0029129981994628906	10.0	8.0
8.0	8.0	10.0	0.0029134750366210938	10.0	8.0
8.0	8.0	10.0	0.0028989315032958984	10.0	8.0
8.0	8.0	10.0	0.002903461456298828	10.0	8.0
8.0	8.0	10.0	0.002916574478149414	10.0	8.0
8.0	8.0	10.0	0.0029201507568359375	10.0	8.0
8.0	8.0	10.0	0.002927541732788086	10.0	8.0
9.0	9.0	10.0	0.003350973129272461	10.0	8.0
9.0	9.0	10.0	0.003347158432006836	10.0	8.0
9.0	9.0	10.0	0.0033364295959472656	10.0	8.0
9.0	9.0	10.0	0.00334930419921875	10.0	8.0
9.0	9.0	10.0	0.003529787063598633	10.0	8.0
9.0	9.0	10.0	0.0034027099609375	10.0	8.0
9.0	9.0	10.0	0.0033388137817382812	10.0	8.0
9.0	9.0	10.0	0.0033440589904785156	10.0	8.0
9.0	9.0	10.0	0.003414630889892578	10.0	8.0
9.0	9.0	10.0	0.0033903121948242188	10.0	8.0
33.0	33.0	55.0	0.020226478576660156	11.0	2.0
33.0	33.0	55.0	0.019814491271972656	11.0	2.0
34.0	34.0	55.0	0.0207827091217041	11.0	2.0
34.0	34.0	55.0	0.0205996036529541	11.0	2.0
35.0	35.0	55.0	0.021915674209594727	11.0	2.0
35.0	35.0	55.0	0.02160930633544922	11.0	2.0
36.0	36.0	55.0	0.02275371551513672	11.0	2.0
36.0	36.0	55.0	0.022803783416748047	11.0	2.0
37.0	37.0	55.0	0.02385544776916504	11.0	2.0
37.0	37.0	55.0	0.02354884147644043	11.0	2.0
38.0	38.0	55.0	0.025151968002319336	11.0	2.0
39.0	39.0	55.0	0.02559375762939453	11.0	2.0
39.0	39.0	55.0	0.025702476501464844	11.0	2.0
